"Aggregate","Year","TotalCt","RawSpn","TotalRunMainAges","Total.Run","EnhSurplus","EffSpn","AgeComp","RunAge3","RunAge4","RunAge5","RunAge6","RunAge7","TotalSpnExp","ExpFactorLabel","SpnBaseCV","SpnAddCV","CtCV","SpnCVTotal","EffSpnSE","CtSE","RunSE","EffSpn_Lower","EffSpn_Upper","CT_Lower","CT_Upper","Run_Lower","Run_Upper","RecAge3","RecAge4","RecAge5","RecAge6","RecAge7","RecTotalNA","RecAgesUse","RecTotal","RpS","LogRpS","Spn","Rec","SpnExp","PercRecAge3","PercRecAge4","PercRecAge5","PercRecAge6","PercRecAge7","OddSpnVal","OddSpnFlag","OddRecVal","OddRecFlag","OddProdVal","OddProdFlag","OddExpVal","OddExpFlag","NumFlagsMain","NumFlagsAll"
"Nass",1992,1287240,672838,NA,1960078,0,672838,"NassAgg",0,0.533878504,0.422396225,0.043248939,0,1,"None",0.03,0.2,0.1,0.23,154752.74,128724,201291.526680851,363332.52,982343.48,1029792,1544688,1557494.9466383,2362661.0533617,4674.908,137098.39,514397.970269706,53534.867606416,0,709706.135876122,709706.135876122,709706.135876122,1.05479496680646,0.0533464037814535,672838,709706.135876122,1,0.0066,0.1932,0.7248,0.0754,0,2.95,FALSE,1.16,FALSE,1.05,FALSE,1,FALSE,0,0
"Nass",1993,1612322,538260,NA,2150582,0,538260,"NassAgg",0,0.319795463,0.604478549,0.075725988,0,1,"None",0.03,0.2,0.1,0.23,123799.8,161232.2,203278.657996554,290660.4,785859.6,1289857.6,1934786.4,1744024.68400689,2557139.31599311,8436.824,359871.037843781,505526.814241782,48437.987151288,0,922272.663236851,922272.663236851,922272.663236851,1.71343340251338,0.538499195229605,538260,922272.663236851,1,0.0091,0.3902,0.5481,0.0525,0,2.36,FALSE,1.5,FALSE,1.71,FALSE,1,FALSE,0,0
"Nass",1994,527094,310043,NA,837137,0,310043,"NassAgg",0.01,0.156,0.734,0.1,0,1,"None",0.03,0.2,0.1,0.23,71309.89,52709.4,88675.7083996068,167423.22,452662.78,421675.2,632512.8,659785.583200786,1014488.41679921,4407.250901489,141187.486176862,494801.864413104,132082.624,0,772479.225491455,772479.225491455,772479.225491455,2.49152287099356,0.91289411830528,310043,772479.225491455,1,0.0057,0.1828,0.6405,0.171,0,1.36,FALSE,1.26,FALSE,2.49,FALSE,1,FALSE,0,0
"Nass",1995,904042,264685,NA,1168727,0,264685,"NassAgg",0.004,0.487,0.435,0.074,0,1,"None",0.03,0.2,0.1,0.23,60877.55,90404.2,108990.804527916,142929.9,386440.1,723233.6,1084850.4,950745.390944167,1386708.60905583,11846.089935768,290979.844145968,244759.744,129921.544440297,0,677507.222522033,677507.222522033,677507.222522033,2.55967365933858,0.939879773544745,264685,677507.222522033,1,0.0175,0.4295,0.3613,0.1918,0,1.16,FALSE,1.1,FALSE,2.56,FALSE,1,FALSE,0,0
"Nass",1996,836487,218116,NA,1054603,0,218116,"NassAgg",0.008,0.13,0.784,0.078,0,1,"None",0.03,0.2,0.1,0.23,50166.68,83648.7,97538.7143339115,117782.64,318449.36,669189.6,1003784.4,859525.571332177,1249680.42866782,8584.30428964,238499.904,286454.664632412,53824.344912,0,587363.217834052,587363.217834052,587363.217834052,2.69289377136043,0.990616366842911,218116,587363.217834052,1,0.0146,0.4061,0.4877,0.0916,0,0.96,FALSE,0.96,FALSE,2.69,FALSE,1,FALSE,0,0
"Nass",1997,744303,250456,NA,994759,0,250456,"NassAgg",0.004430471,0.361767059,0.517108134,0.116730642,0,1,"None",0.03,0.2,0.1,0.23,57604.88,74430.3,94117.9672427343,135246.24,365665.76,595442.4,893163.6,806523.065514531,1182994.93448547,10641.728,163962.390996711,656371.46016,149685.247645191,0,980660.826801902,980660.826801902,980660.826801902,3.91550143259456,1.3649434010866,250456,980660.826801902,1,0.0109,0.1672,0.6693,0.1526,0,1.1,FALSE,1.6,FALSE,3.92,FALSE,1,FALSE,0,0
"Nass",1998,445320,266458,NA,711778,0,266458,"NassAgg",0.016642956,0.198358879,0.710231019,0.075212872,0,1,"None",0.03,0.2,0.1,0.23,61285.34,44532,75756.1345563222,143887.32,389028.68,356256,534384,560265.730887356,863290.269112644,1772.39993058,673086.528036,830551.537938078,59534.31488337,0,1564944.78078803,1564944.78078803,1564944.78078803,5.87313865895574,1.77038918582336,266458,1564944.78078803,1,0.0011,0.4301,0.5307,0.038,0,1.17,FALSE,2.55,FALSE,5.87,FALSE,1,FALSE,0,0
"Nass",1999,631847,210957,NA,842804,0,210957,"NassAgg",0.01018541,0.345252092,0.587090076,0.057472422,0,1,"None",0.03,0.2,0.1,0.23,48520.11,63184.7,79664.9696447698,113916.78,307997.22,505477.6,758216.4,683474.06071046,1002133.93928954,21060,190815.055534917,653759.3961414,102548.74108626,0,968183.192762577,968183.192762577,968183.192762577,4.58948123438699,1.5237669968544,210957,968183.192762577,1,0.0218,0.1971,0.6752,0.1059,0,0.93,FALSE,1.58,FALSE,4.59,FALSE,1,FALSE,0,0
"Nass",2000,421577,204407,NA,625984,0,204407,"NassAgg",0.017,0.381,0.391,0.211,0,1,"None",0.03,0.2,0.1,0.23,47013.61,42157.7,63147.0600623822,110379.78,298434.22,337261.6,505892.4,499689.879875236,752278.120124764,5209.158881814,264568.57351659,416243.73234444,169728.345709356,0,855749.8104522,855749.8104522,855749.8104522,4.18649953500712,1.43186495159274,204407,855749.8104522,1,0.0061,0.3092,0.4864,0.1983,0,0.9,FALSE,1.39,FALSE,4.19,FALSE,1,FALSE,0,0
"Nass",2001,413358,168753,NA,582111,0,168753,"NassAgg",0.00304478,0.281668601,0.492096292,0.223190327,0,1,"None",0.03,0.2,0.1,0.23,38813.19,41335.8,56701.9583402205,91126.62,246379.38,330686.4,496029.6,468707.083319559,695514.916680441,7367.71545864,141809.54404526,400272.719983588,179121.171751357,0,728571.151238845,728571.151238845,728571.151238845,4.31738192055161,1.46264918163207,168753,728571.151238845,1,0.0101,0.1946,0.5494,0.2459,0,0.74,FALSE,1.19,FALSE,4.32,FALSE,1,FALSE,0,0
