"AggSeq","Aggregate","StartYr","SpnAddCV","CtCV","Notes","NumSpn","NumRec","NumSR","ContrX","NumObsX","LgSpnX","LgRecX","SmSpnX","SmRecX","LgExpX","ContrVal","NumObsVal","LgSpnVal","LgRecVal","SmSpnVal","SmRecVal","LgExpVal","OddSpn","OddRec","OddProd","OddExp"
1,"Nass",2000,0.2,0.1,NA,38,32,32,"-","-","-","-","-","-","-",5.28,32,1,1,1,1,1,0,0,1,0
2,"Skeena",1993,0.05,0.2,NA,50,45,45,"-","-","-","-","-","-","-",4.9,45,1,1,1,1,1,0,2,1,0
