"Stock","Year","T_Idx_E","TE","CDN.Harvest","TRTC","Total.Harvest","Total.Run","TotalSpnExp","EffSpn","Expl_R","Expl_S","AgeComp","RunAge3","RunAge4","RunAge5","RunAge6","RunAge7","Total","ExpFactorLabel","SpnBaseCV","SpnAddCV","CtCV","SpnCVTotal","SpnSE","EffSpnSE","CtSE","RunSE","TE_Lower","TE_Upper","EffSpn_Lower","EffSpn_Upper","CT_Lower","CT_Upper","Run_Lower","Run_Upper","RecAge3","RecAge4","RecAge5","RecAge6","RecAge7","RecTotalNA","RecAgesUse","RecTotal","RpS","LogRpS","PercCdnCt","TotalER","Spn","Rec","SpnExp","PercRecAge3","PercRecAge4","PercRecAge5","PercRecAge6","PercRecAge7","OddSpnVal","OddSpnFlag","OddRecVal","OddRecFlag","OddProdVal","OddProdFlag","OddExpVal","OddExpFlag","NumFlagsMain","NumFlagsAll"
"Alastair",1964,1900,4209.801806,1717.092992,5926.894797,1995.712902,6205.514707,2.22,4209.801806,9364,4262,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,841.9603612,841.9603612,598.7138706,1033.12900873069,2525.8810836,5893.7225284,2525.8810836,5893.7225284,798.2851608,3193.1406432,4139.25668953861,8271.77272446139,0,1743.74644642239,5265.29631970633,2971.44778259996,0,9980.49054872868,9980.49054872868,9980.49054872868,2.37077444703074,0.863216672668105,86,32,4209.801806,9980.49054872868,2.22,0,0.1747,0.5276,0.2977,0,0.27,FALSE,0.39,FALSE,2.37,FALSE,1,FALSE,0,0
"Alastair",1965,7900,17503.91277,4847.193727,22351.1065,6580.793286,24084.70606,2.22,17503.91277,6004,17720,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,3500.782554,3500.782554,1974.2379858,4019.09120510675,10502.347662,24505.477878,10502.347662,24505.477878,2632.3173144,10529.2692576,16046.5236497865,32122.8884702135,0,315.917776513927,3961.93037679995,1576.95559602166,0,5854.80374933553,5854.80374933553,5854.80374933553,0.334485427702205,-1.09516196478073,74,27,17503.91277,5854.80374933553,2.22,0,0.054,0.6767,0.2693,0,1.11,FALSE,0.23,FALSE,0.33,FALSE,1,FALSE,0,0
"Alastair",1966,8400,18611.75535,10722.59032,29334.34567,11357.08898,29968.84433,2.22,18611.75535,7202,18841,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,3722.35107,3722.35107,3407.126694,5046.22728355526,11167.05321,26056.45749,11167.05321,26056.45749,4542.835592,18171.342368,19876.3897628895,40061.2988971105,0,237.715820600091,2102.60746136221,5553.47225707983,0,7893.79553904213,7893.79553904213,7893.79553904213,0.424129556325924,-0.857716313050865,94,38,18611.75535,7893.79553904213,2.22,0,0.0301,0.2664,0.7035,0,1.18,FALSE,0.31,FALSE,0.42,FALSE,1,FALSE,0,0
"Alastair",1967,12500,27696.06451,16791.95303,44488.01754,19732.85044,47428.91495,2.22,27696.06451,12829,28038,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,5539.212902,5539.212902,5919.855132,8107.2538110972,16617.638706,38774.490314,16617.638706,38774.490314,7893.140176,31572.560704,31214.4073278056,63643.4225721944,0,126.156446616131,7404.62967610645,5899.61347955244,0,13430.399602275,13430.399602275,13430.399602275,0.484920866552207,-0.723769563105007,85,42,27696.06451,13430.399602275,2.22,0,0.0094,0.5513,0.4393,0,1.76,FALSE,0.53,FALSE,0.48,FALSE,1,FALSE,0,0
"Alastair",1968,15000,33235.27741,18094.45886,51329.73627,19367.74082,52603.01823,2.22,33235.27741,10620,33645,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,6647.055482,6647.055482,5810.322246,8828.5441145836,19941.166446,46529.388374,19941.166446,46529.388374,7747.096328,30988.385312,34945.9300008328,70260.1064591672,0,444.27777681372,7866.15130606993,2718.48211484957,0,11028.9111977332,11028.9111977332,11028.9111977332,0.331843512592881,-1.10309176879666,93,37,33235.27741,11028.9111977332,2.22,0,0.0403,0.7132,0.2465,0,2.11,FALSE,0.43,FALSE,0.33,FALSE,1,FALSE,0,0
"Alastair",1969,3000,6647.055483,2607.2382,9254.293682,2883.130853,9530.186336,2.22,6647.055483,4670,6729,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,1329.4110966,1329.4110966,864.9392559,1586.01821558268,3988.2332898,9305.8776762,3988.2332898,9305.8776762,1153.2523412,4613.0093648,6358.14990483464,12702.2227671654,0,471.96907437763,3624.64281979943,738.955576450001,0,4835.56747062706,4835.56747062706,4835.56747062706,0.727475117816323,-0.318175482835734,90,30,6647.055483,4835.56747062706,2.22,0,0.0976,0.7496,0.1528,0,0.42,FALSE,0.19,FALSE,0.73,FALSE,1,FALSE,0,0
"Alastair",1970,2250,4985.291612,2092.269828,7077.56144,2185.802368,7171.09398,2.22,4985.291612,4901,5047,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,997.0583224,997.0583224,655.7407104,1193.36548363986,2991.1749672,6979.4082568,2991.1749672,6979.4082568,874.3209472,3497.2837888,4784.36301272028,9557.82494727972,0,217.478567350997,985.274101933335,4207.16655780784,0,5409.91922709217,5409.91922709217,5409.91922709217,1.0851760835956,0.0817422628531891,96,30,4985.291612,5409.91922709217,2.22,0,0.0402,0.1821,0.7777,0,0.32,FALSE,0.21,FALSE,1.09,FALSE,1,FALSE,0,0
"Alastair",1971,1150,2548.037935,1214.91696,3762.954895,1257.681569,3805.719504,2.22,2548.037935,14414,2579,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,509.607587,509.607587,377.3044707,634.080875234516,1528.822761,3567.253109,1528.822761,3567.253109,503.0726276,2012.2905104,2537.55775353097,5073.88125446903,0,59.1164456166632,5609.55541041045,9872.82089779201,0,15541.4927538191,15541.4927538191,15541.4927538191,6.09939614333847,1.80818977338381,97,33,2548.037935,15541.4927538191,2.22,0,0.0038,0.3609,0.6353,0,0.16,FALSE,0.61,FALSE,6.1,FALSE,1,FALSE,0,0
"Alastair",1972,4000,8862.740643,4097.187073,12959.92772,4539.639067,13402.37971,2.22,8862.740643,24950,8972,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,1772.5481286,1772.5481286,1361.8917201,2235.32456826303,5317.6443858,12407.8369002,5317.6443858,12407.8369002,1815.8556268,7263.4225072,8931.73057347394,17873.0288465261,0,336.573321781705,13163.761197056,12972.6616859528,0,26472.9962047905,26472.9962047905,26472.9962047905,2.98699886086585,1.09426915786994,90,34,8862.740643,26472.9962047905,2.22,0,0.0127,0.4973,0.49,0,0.56,FALSE,1.04,FALSE,2.99,FALSE,1,FALSE,0,0
"Alastair",1973,4000,8862.740643,5036.704714,13899.44536,5374.993215,14237.73386,2.22,8862.740643,29101,8972,"AlastairAvg",0,0.033149171,0.552486188,0.414364641,0,1,"Moderate",0.1,0.1,0.3,0.2,1772.5481286,1772.5481286,1612.4979645,2396.26303934272,5317.6443858,12407.8369002,5317.6443858,12407.8369002,2149.997286,8599.989144,9445.20778131456,19030.2599386854,0,789.825665151967,17296.8822479371,12498.3206015658,0,30585.0285146548,30585.0285146548,30585.0285146548,3.450967341441,1.23865458056515,94,38,8862.740643,30585.0285146548,2.22,0,0.0258,0.5655,0.4086,0,0.56,FALSE,1.2,FALSE,3.45,FALSE,1,FALSE,0,0
