#Data 
CU[]	Spawn[]	lnRSobs[]	year[]
6	600	2.644936695	25
6	2637	0.753479131	26
6	2000	1.967864278	27
6	11186	0.244642763	28
6	6956	0.633991774	29
6	4837	1.129261869	33
6	5319	0.541618698	34
6	10548	-0.094728054	36
6	6411	0.93346006	37
6	3632	0.600412164	38
6	3727	1.728308468	39
6	9389	0.582038262	40
6	3595	0.641704615	41
6	10472	-1.02280223	42
6	316	1.758174091	43
6	19510	-0.860085896	44
6	8047	0.264919655	45
6	1198	2.02488393	46
6	2166	2.048796922	47
6	548	3.293353822	48
6	6625	0.527532233	49
6	8721	0.841906905	50
6	6046	1.025628762	51
6	13478	0.542737769	52
6	8600	0.755237229	53
6	7735	0.943462628	54
6	17574	-0.295157968	55
7	44721	1.834406374	1
7	218146	0.342440657	2
7	99536	1.301975413	3
7	177106	1.2337465	4
7	186458	-0.285910918	5
7	176199	0.39843477	6
7	58581	2.255972226	7
7	135976	1.768964455	8
7	125287	1.370813478	9
7	105359	2.046535827	10
7	195558	0.826608545	11
7	282801	1.37160091	12
7	209478	1.681975383	13
7	237309	1.658092571	14
7	139211	0.804188778	15
7	368434	1.518371044	16
7	288071	0.223470311	17
7	502031	1.950263353	18
7	143303	1.983934489	19
7	416887	0.565025678	20
7	121208	2.854671414	21
7	441066	0.944553072	22
7	319421	0.480382811	23
7	314944	0.942722901	24
7	266911	2.252214059	25
7	301691	1.612920588	26
7	165482	1.750005995	27
7	150463	1.554629563	28
7	322950	1.433785019	29
7	328463	1.611373074	30
7	331533	1.676688044	31
7	104023	3.523096794	32
7	318210	2.621792369	33
7	260339	1.269969519	34
7	428141	-1.998065427	35
7	393980	0.428373557	36
7	372337	2.653003154	37
7	320216	0.465140954	38
7	157127	2.003153221	39
7	203004	0.759622087	40
7	586508	0.367870486	41
7	400411	0.616929458	42
7	290370	2.21481651	43
7	460680	-0.190461976	44
7	445304	1.164033795	45
7	327460	-0.062650441	46
7	461925	0.630389432	47
7	458006	1.200636685	48
7	357801	-0.287703257	49
7	317178	0.382715238	50
7	321952	2.272339302	51
7	347869	1.576302243	52
7	337324	0.818844828	53
7	220714	-0.983883652	54
7	425300	1.197296038	55
8	1500	2.777433486	8
