#Data 
CU[]	Spawn[]	lnRSobs[]
13	4171	-0.192055387
13	2317	0.439706017
13	2781	0.292710897
13	521	1.940888735
13	232	3.714096896
13	1390	2.654679714
13	1159	2.914612674
13	1622	2.374767781
13	927	2.648091782
13	2317	1.982886081
13	6951	0.751641543
13	9269	0.308285955
13	6951	1.154112412
13	4634	2.202546299
13	6951	2.647922369
13	9269	2.222448239
13	46343	0.931418298
13	31281	0.970513322
13	25489	-0.082768834
13	40550	-1.522181162
13	47501	-1.719713957
13	27806	-0.571167058
13	6951	1.33045804
13	17379	0.137195608
13	3476	1.650344505
13	4634	2.062479648
13	6482	2.087992827
13	21769	0.376564789
13	15616	0.695782925
13	11063	0.440028749
13	18314	-0.571987103
13	45452	-1.515662784
13	17410	-0.173068534
13	30460	-0.123574217
13	14360	0.988691874
13	7441	1.522820615
13	6908	0.948790182
13	9425	1.006738206
14	1500	-0.371231768
14	100	2.429327053
14	400	0.684613842
14	100	2.602935413
14	220	1.188694001
14	500	1.271532431
14	666	1.001412376
14	726	0.042440271
14	457	-0.24849253
14	171	0.872104166
14	2059	-1.867743534
14	498	-0.663634097
14	269	0.633295427
14	143	1.978268554
14	911	-0.24825526
14	609	0.489594857
15	33541	1.112907806
15	58588	0.11285575
15	37326	0.677212263
15	63955	0.457917968
15	119866	-1.128657388
15	31037	0.703511807
15	21463	1.168883757
15	31742	1.535362992
15	22284	1.963173528
15	43526	2.059314024
15	28978	1.749875519
15	30443	2.075140016
15	73911	0.863108723
15	100183	0.648311906
15	96197	-0.358978844
15	97499	1.612491424
15	50192	1.152115379
15	89757	2.777563165
15	27964	2.500210675
15	135745	0.950409469
15	57655	3.125812907
15	256141	1.072423332
15	122052	1.644318678
15	112845	1.761459435
15	219484	1.698830772
15	216568	0.753617038
15	132930	1.850497743
15	302166	0.530455536
15	173803	1.87721045
15	106908	1.972923108
15	127100	1.889058066
15	224976	2.030165176
15	198087	2.348315003
15	251783	0.446014203
15	136482	-1.563950611
15	243069	-0.086128693
15	210609	1.573352135
15	120916	0.051142117
15	62357	1.744086272
15	128989	-0.091222566
15	130236	0.508907549
15	99116	0.914920178
15	95249	2.14650487
15	147068	-0.14055786
15	102160	1.616581411
15	128931	-0.107671976
15	174654	0.352710015
15	170675	1.289218396
15	139316	-0.328623626
15	130986	-0.725339447
15	119148	1.175983694
15	151768	0.247394368
15	110012	0.423311845
15	30151	-0.446619661
15	78550	1.468535684
16	949	-0.770477755
16	855	-0.870440867
16	398	0.373362929
16	430	0.383424528
16	293	-0.140397634
16	216	0.508974601
16	331	1.1084293
16	366	1.138064949
16	150	2.019733206
16	161	0.262729271
16	740	0.118114693
16	687	0.817160622
16	940	-0.693274558
16	93	1.607943144
17	100	3.283367065
17	500	0.493470484
17	500	-0.060138937
17	500	1.45140673
17	400	2.108372044
17	2100	0.644885824
17	50	3.623840915
17	100	3.303214543
17	1100	1.677093057
17	1800	-0.078374738
17	3300	-3.963562104
17	75	1.732349025
17	550	2.76065614
17	1257	0.930996171
17	988	1.344900011
17	4992	-1.050392561
17	1604	-0.043971678
17	1175	0.367533769
17	808	1.316929356
17	2469	0.099073502
17	212	2.409754639
17	540	1.26077951
17	426	1.7293057
17	1884	0.405820962
17	1309	0.981147925
17	1366	0.846564457
18	15021	0.174783208
18	1671	3.106154926
18	10320	0.588152381
18	22243	0.544768523
18	11121	0.665541917
18	22243	0.608648541
18	35957	0.193154015
18	7800	1.40217736
18	26700	0.19485005
18	12840	0.668021256
18	26700	-1.892157403
18	26700	-0.305786267
18	17250	-1.875560062
18	17250	0.835852297
18	17250	0.515753449
18	1206	3.736602248
18	12840	1.618234096
18	16135	1.45791712
18	31885	0.700685059
18	36342	0.913720616
18	39300	0.503117163
18	39977	0.458429829
18	39300	0.816583762
18	71914	0.686287335
18	82285	0.43595191
18	33000	-0.271870553
18	39300	0.335863464
18	53014	0.235054811
18	76371	-1.753783013
18	2674	2.007974414
18	27871	-0.059562503
18	25825	0.437808931
18	10828	0.34928493
18	20242	0.087692031
18	19597	0.204979817
18	10821	-0.382806642
18	25972	-0.838101775
18	9665	0.496283762
18	19059	-1.258690724
18	21436	-1.299528055
18	4825	1.739297996
18	9317	0.810847096
18	12857	-0.318157903
18	3788	0.321248565
18	4922	0.988831326
END
